Fan,FanHours,Refrigerator,RefrigeratorHours,AirConditioner,AirConditionerHours,Television,TelevisionHours,Monitor,MonitorHours,MotorPump,MotorPumpHours,Month,City,UnitsConsumed,ElectricityBill
1,3,1,24,0,0,3,5,1,3,0,0,1,Noida,163.35,905.1
3,12,1,24,3,8,0,0,1,3,0,0,12,Pune,1272.6,15433.32
5,12,2,24,3,0,3,5,3,7,0,0,7,New Delhi,421.2,1637.8
1,12,0,0,0,0,0,0,1,9,1,0,12,Noida,37.8,207.9
0,0,0,0,0,0,3,1,2,0,0,0,8,Kolkata,9.0,40.5
1,4,0,0,1,0,0,0,2,7,0,0,12,Kolkata,25.8,116.1
2,2,1,24,0,0,3,8,0,0,1,2,4,Hyderabad,234.0,948.0
6,15,2,24,3,5,2,4,3,9,1,1,8,Nagpur,1172.4,14110.68
1,11,2,24,2,8,1,3,1,3,0,0,4,New Delhi,973.35,5586.8
0,0,2,24,2,5,3,0,1,10,1,0,6,Noida,678.0,4244.3
1,15,2,24,0,0,3,0,3,10,0,0,1,Mumbai,285.75,2328.94
8,10,0,0,0,0,3,6,3,1,1,1,6,Hyderabad,260.1,1130.7
4,3,1,24,2,7,2,1,0,0,1,1,4,Ahmedabad,793.5,3828.7
2,9,1,24,2,3,0,0,1,0,1,0,4,Vadodara,418.5,1878.7
1,0,2,24,2,0,1,6,0,0,1,0,7,Noida,234.0,1329.0
5,4,0,0,3,7,0,0,3,10,1,0,2,Dahej,1026.0,5037.7
5,3,0,0,1,9,1,0,1,8,1,1,2,New Delhi,470.85,1960.53
1,0,0,0,0,0,2,6,3,10,1,2,6,New Delhi,117.0,351.0
8,13,1,24,3,9,2,0,2,9,1,3,12,Mumbai,1646.1,20363.52
5,3,1,24,0,0,0,0,0,0,1,1,5,Kolkata,164.25,835.5
7,11,1,24,3,7,2,4,1,1,1,1,1,Ahmedabad,1273.95,6327.04
0,0,0,0,3,7,3,1,0,0,0,0,3,Kolkata,954.0,6555.0
0,0,0,0,1,4,2,3,1,0,0,0,3,Hyderabad,198.0,701.0
6,13,0,0,0,0,2,7,0,0,0,0,7,New Delhi,217.5,678.75
8,5,2,24,2,9,2,4,0,0,1,2,2,Chennai,1185.0,5160.0
0,0,2,24,1,1,3,4,0,0,1,0,10,Ahmedabad,297.0,1246.9
5,12,2,24,3,1,1,3,2,10,1,1,5,Kolkata,541.5,3461.25
5,3,2,24,3,1,0,0,0,0,1,2,10,Chennai,429.75,839.25
2,7,0,0,3,8,3,6,2,7,1,1,1,Noida,1204.8,7852.88
0,0,1,24,1,0,3,4,1,3,0,0,12,Vadodara,147.6,567.3
3,5,1,24,3,3,1,2,3,4,0,0,7,New Delhi,567.15,2586.47
0,0,1,24,3,1,3,2,3,3,0,0,8,Chennai,271.8,365.4
1,14,2,24,2,7,3,5,1,9,0,0,6,Noida,933.3,5993.1
5,5,0,0,2,10,0,0,1,1,1,1,10,Shimla,979.95,5326.21
8,13,2,24,1,5,2,4,3,2,0,0,7,Vadodara,706.2,3374.74
2,2,0,0,1,4,0,0,1,8,0,0,12,Vadodara,198.6,784.05
2,7,0,0,1,4,0,0,3,4,1,0,2,Navi Mumbai,225.9,1715.48
8,6,1,24,1,10,2,0,1,3,0,0,4,Ratnagiri,669.6,7473.72
3,15,2,24,3,4,3,0,3,9,0,0,2,Pune,889.65,10378.38
1,2,1,24,2,3,0,0,0,0,1,3,6,Vadodara,450.0,2042.5
8,11,2,24,1,4,1,1,1,9,0,0,6,New Delhi,607.8,2854.6
8,15,0,0,2,3,1,7,3,2,0,0,9,Noida,568.2,3492.17
7,12,0,0,1,10,2,8,3,4,0,0,12,Dahej,701.4,3349.78
5,8,2,24,1,5,1,0,2,9,1,2,5,Shimla,597.6,2741.53
0,0,0,0,2,9,3,8,3,2,1,0,8,Chennai,889.2,3385.2
1,15,1,24,1,7,3,5,3,10,1,0,7,Navi Mumbai,537.75,5733.3
1,4,1,24,2,7,0,0,3,9,0,0,6,Ahmedabad,779.4,3755.38
4,5,2,24,2,2,2,5,0,0,1,3,3,Navi Mumbai,538.5,5743.2
1,15,2,24,0,0,1,5,1,3,1,0,9,Navi Mumbai,268.35,2150.59
7,11,1,24,2,10,1,7,2,1,1,3,12,Shimla,1272.15,7301.48
1,9,1,24,3,9,3,7,2,0,0,0,3,Vadodara,1406.25,7015.0
6,5,1,24,3,10,2,4,2,10,0,0,1,Kolkata,1573.5,11201.25
4,13,1,24,2,7,2,1,1,4,1,3,5,New Delhi,933.3,5266.4
0,0,2,24,3,0,3,4,3,7,1,2,7,Kolkata,322.2,1816.5
6,1,2,24,0,0,3,5,1,9,1,2,4,Vadodara,330.3,1420.06
7,0,1,24,3,2,0,0,3,9,0,0,8,Hyderabad,410.4,2203.6
4,7,1,24,1,4,2,7,2,7,1,0,7,Shimla,409.8,1472.0
0,0,0,0,0,0,1,7,1,3,1,1,12,Faridabad,47.1,103.62
1,16,2,24,2,7,2,0,3,0,0,0,10,Dahej,882.0,4288.9
2,12,1,24,0,0,0,0,0,0,1,0,4,Chennai,162.0,93.0
7,10,0,0,0,0,0,0,2,7,1,1,11,Vadodara,196.8,776.4
7,1,0,0,3,4,2,8,2,5,1,3,12,Mumbai,683.25,7653.9
7,2,1,24,1,6,0,0,3,2,0,0,5,Shimla,416.7,1518.64
7,13,2,24,0,0,1,4,0,0,0,0,2,Vadodara,432.75,1952.8
8,0,0,0,0,0,1,4,0,0,1,3,8,Chennai,79.5,0.0
1,5,0,0,0,0,1,4,0,0,0,0,1,Vadodara,23.25,70.91
7,4,1,24,2,4,2,2,1,6,0,0,7,Dahej,550.2,2563.54
0,0,2,24,1,4,2,2,2,10,0,0,4,Navi Mumbai,432.0,4296.6
6,7,0,0,1,10,2,5,0,0,1,1,5,Kolkata,597.0,3877.5
7,13,2,24,0,0,2,6,0,0,1,3,11,Nagpur,524.25,5555.1
6,2,2,24,1,3,1,2,0,0,0,0,9,Hyderabad,384.0,1998.0
1,8,0,0,3,5,3,1,3,3,1,0,5,Chennai,712.8,2326.8
0,0,2,24,1,1,3,6,0,0,0,0,6,Ratnagiri,315.0,2682.0
0,0,0,0,2,7,0,0,1,8,0,0,7,Dahej,639.6,3028.42
3,11,2,24,1,5,0,0,0,0,1,2,11,Shimla,560.25,2489.04
7,11,1,24,2,0,1,4,3,2,0,0,12,Dahej,300.45,1264.84
8,2,2,24,1,5,0,0,0,0,0,0,10,Chennai,477.0,981.0
3,10,0,0,1,3,2,6,1,2,1,1,1,Noida,263.4,1505.4
1,7,2,24,3,6,2,3,2,9,1,3,4,Ahmedabad,1148.85,5676.52
2,4,0,0,3,3,0,0,2,7,1,3,2,Dahej,507.3,2340.46
2,4,1,24,2,2,1,8,3,7,0,0,6,Chennai,355.2,615.6
3,9,0,0,0,0,1,8,0,0,0,0,9,Vadodara,84.75,300.19
3,7,1,24,1,3,3,5,1,0,1,3,2,Chennai,402.75,758.25
8,3,2,24,2,1,2,6,2,0,0,0,4,Pune,396.0,3799.8
1,6,2,24,3,5,1,5,0,0,0,0,8,Gurgaon,919.5,5460.95
4,6,2,24,3,0,0,0,0,0,1,2,4,Shimla,315.0,831.15
6,15,0,0,1,4,3,8,1,4,0,0,6,New Delhi,459.3,1885.45
6,14,2,24,2,3,0,0,0,0,0,0,7,Ahmedabad,675.0,3212.5
8,7,2,24,3,2,3,0,1,2,0,0,7,Navi Mumbai,614.4,6745.08
2,3,2,24,0,0,1,1,1,1,0,0,7,Mumbai,233.7,1795.42
1,8,1,24,1,7,2,7,3,7,0,0,3,Noida,508.2,3081.17
7,7,1,24,2,4,0,0,0,0,0,0,7,Faridabad,578.25,3038.07
7,14,0,0,2,5,2,2,2,10,0,0,6,Hyderabad,706.5,4868.5
5,7,1,24,0,0,0,0,1,4,1,1,9,Pune,214.05,1594.01
2,4,0,0,2,3,0,0,0,0,1,2,4,Hyderabad,333.0,1641.0
8,2,2,24,0,0,2,3,3,2,1,1,7,Mumbai,299.7,2471.93
4,8,2,24,2,1,3,7,3,7,0,0,2,Navi Mumbai,466.2,4768.56
2,14,2,24,0,0,0,0,0,0,0,0,5,Navi Mumbai,279.0,2259.75
7,10,2,24,2,3,1,5,1,5,1,1,3,Navi Mumbai,687.0,7703.4
0,0,1,24,1,1,0,0,3,8,0,0,1,Hyderabad,181.8,628.1
5,12,0,0,1,9,3,3,1,9,1,1,11,Nagpur,600.3,6558.96
1,11,0,0,0,0,3,7,0,0,0,0,5,Ratnagiri,87.75,372.94
6,11,0,0,2,6,2,0,3,10,1,3,10,Navi Mumbai,792.0,9089.4
8,3,0,0,1,10,1,3,3,8,0,0,5,Pune,541.8,5786.76
1,16,1,24,2,2,3,2,1,3,1,1,4,Vadodara,368.1,1616.62
6,9,1,24,3,1,1,0,2,5,0,0,11,Mumbai,376.5,3530.7
1,12,0,0,2,2,2,8,3,1,1,2,1,Navi Mumbai,303.6,2524.68
6,16,2,24,1,0,2,4,0,0,1,2,4,Vadodara,501.0,2307.7
4,6,1,24,1,0,1,0,1,1,1,1,12,Shimla,185.7,253.12
7,0,2,24,3,5,2,5,3,3,1,1,6,New Delhi,954.3,5434.4
5,7,1,24,1,6,3,5,1,1,0,0,11,Noida,502.95,3045.21
3,7,2,24,3,8,0,0,2,1,1,3,1,Vadodara,1413.15,7050.88
2,11,0,0,1,3,0,0,1,2,0,0,6,Gurgaon,186.9,598.73
5,15,2,24,2,0,1,3,2,6,0,0,12,Pune,408.15,3967.47
7,10,1,24,2,10,2,2,2,3,1,3,3,Dahej,1252.2,6213.94
8,1,0,0,3,3,0,0,0,0,1,3,7,Nagpur,490.5,5103.9
2,6,2,24,1,0,3,3,2,3,0,0,4,Dahej,277.2,1143.94
7,10,2,24,1,0,1,6,3,0,0,0,2,Faridabad,391.5,1782.68
5,4,2,24,0,0,2,0,3,8,1,2,5,Kolkata,334.8,1911.0
8,6,2,24,3,9,2,7,3,6,0,0,10,Chennai,1602.6,7665.6
1,6,1,24,2,4,3,7,2,5,1,3,6,Vadodara,624.0,2947.3
5,9,1,24,3,1,0,0,3,10,0,0,8,Vadodara,380.25,1679.8
6,13,0,0,2,7,0,0,2,5,0,0,11,Faridabad,817.5,4736.75
3,13,2,24,1,10,0,0,2,6,1,1,11,Gurgaon,790.65,4546.11
5,10,1,24,1,8,2,1,3,10,1,3,9,Mumbai,690.0,7743.0
8,0,2,24,2,3,0,0,0,0,1,3,9,Navi Mumbai,553.5,5941.2
0,0,0,0,3,5,0,0,1,0,0,0,6,Navi Mumbai,675.0,7545.0
4,15,2,24,2,1,0,0,3,1,0,0,2,Gurgaon,444.6,2125.17
1,0,2,24,2,1,1,0,2,0,1,3,11,Vadodara,373.5,1644.7
4,4,0,0,1,5,1,6,1,2,0,0,6,Pune,281.4,2284.35
1,8,0,0,0,0,2,0,1,2,0,0,4,Faridabad,20.4,44.88
6,16,2,24,2,6,1,5,3,0,0,0,9,Nagpur,987.0,11663.4
6,1,2,24,0,0,2,7,1,9,0,0,11,Vadodara,282.3,1170.46
2,6,1,24,2,7,2,3,1,6,0,0,5,Hyderabad,790.2,5621.8
0,0,2,24,2,5,3,2,1,2,1,1,8,Vadodara,708.9,3388.78
0,0,1,24,2,6,1,0,2,5,1,3,4,New Delhi,727.5,3692.5
8,7,2,24,3,0,0,0,1,5,1,3,10,Gurgaon,415.5,1937.47
4,10,1,24,3,7,1,8,2,4,1,1,4,Ratnagiri,1199.1,14463.12
7,13,1,24,3,9,0,0,0,0,1,1,11,Noida,1550.25,10219.21
2,4,2,24,1,0,2,4,0,0,0,0,5,New Delhi,258.0,861.0
8,9,2,24,1,8,1,5,0,0,1,1,1,Mumbai,775.5,8871.6
6,12,1,24,3,0,0,0,2,4,0,0,1,Nagpur,279.6,2265.9
7,10,2,24,1,7,3,5,0,0,1,2,3,Hyderabad,778.5,5516.5
0,0,0,0,2,7,2,3,1,2,1,3,6,Pune,717.9,8111.28
2,4,2,24,0,0,3,3,3,9,1,3,12,Dahej,360.9,1579.18
4,5,1,24,2,10,2,1,2,6,1,0,3,Hyderabad,1073.4,8170.6
1,13,2,24,2,10,0,0,2,1,0,0,6,Mumbai,1147.65,13783.98
7,4,0,0,0,0,0,0,0,0,1,2,2,Nagpur,108.0,507.0
5,13,2,24,1,7,0,0,2,6,1,3,12,Chennai,759.15,2604.9
4,15,2,24,2,10,3,2,1,8,0,0,7,Hyderabad,1278.6,10017.4
3,6,2,24,3,9,0,0,3,6,0,0,7,Mumbai,1493.1,18343.92
1,2,1,24,3,10,3,4,0,0,0,0,3,Mumbai,1498.5,18415.2
2,0,0,0,2,6,0,0,2,5,0,0,12,Mumbai,552.0,5921.4
5,1,0,0,3,9,2,0,0,0,0,0,3,Kolkata,1226.25,8596.88
8,8,2,24,2,7,0,0,2,6,1,1,3,New Delhi,1026.9,6015.2
2,3,0,0,3,7,2,4,2,10,1,1,4,Nagpur,1029.0,12217.8
5,1,1,24,3,2,2,1,1,5,0,0,8,Faridabad,401.25,1845.56
2,12,0,0,1,0,3,2,0,0,0,0,4,Hyderabad,72.0,187.2
0,0,0,0,3,9,3,4,1,0,1,1,8,Ahmedabad,1273.5,6324.7
6,8,1,24,3,6,0,0,2,2,1,0,12,Chennai,1030.8,4234.8
0,0,2,24,1,0,3,6,0,0,0,0,9,Chennai,270.0,360.0
4,2,2,24,3,5,2,8,1,3,1,3,7,Ratnagiri,1028.1,12205.92
4,8,1,24,3,1,3,8,2,10,0,0,4,Shimla,411.0,1480.11
6,16,2,24,1,10,2,0,0,0,0,0,10,Navi Mumbai,882.0,10277.4
0,0,1,24,2,10,3,2,0,0,1,2,6,New Delhi,1071.0,6368.0
3,0,0,0,3,9,2,5,2,9,1,3,12,Pune,1334.1,16245.12
5,10,2,24,0,0,0,0,0,0,0,0,5,Navi Mumbai,328.5,2868.3
2,13,0,0,0,0,1,5,1,6,1,3,5,Pune,148.2,919.05
3,2,2,24,1,6,3,6,3,5,1,1,10,Faridabad,594.0,3149.9
3,13,2,24,2,3,3,5,3,1,1,1,8,Ratnagiri,644.85,7147.02
0,0,2,24,0,0,3,0,0,0,0,0,12,Ahmedabad,216.0,858.0
8,3,0,0,2,10,1,2,0,0,0,0,6,Shimla,960.0,5191.35
5,15,2,24,3,2,1,0,2,3,0,0,11,Faridabad,661.95,3632.35
7,10,2,24,0,0,1,6,0,0,0,0,1,Nagpur,391.5,3737.7
5,14,2,24,3,1,2,6,2,4,1,3,1,Dahej,621.6,2934.82
0,0,2,24,2,2,1,0,3,9,0,0,12,Ratnagiri,428.4,4246.92
0,0,2,24,0,0,2,6,2,8,1,0,10,Vadodara,271.2,1112.74
1,5,1,24,2,5,2,4,2,6,0,0,7,Ratnagiri,607.65,6655.98
7,3,0,0,0,0,1,4,3,9,0,0,9,Dahej,91.65,329.51
6,4,1,24,1,2,2,5,3,6,0,0,9,Navi Mumbai,303.6,2524.68
5,13,2,24,2,9,2,1,0,0,1,1,4,Vadodara,1200.75,5946.4
7,4,0,0,2,8,1,2,2,10,1,1,12,New Delhi,835.5,4484.0
8,5,0,0,1,8,2,0,0,0,0,0,8,Faridabad,450.0,2160.0
2,9,1,24,3,8,0,0,1,1,0,0,2,Navi Mumbai,1229.7,14867.04
3,16,1,24,2,4,2,0,1,6,0,0,10,Dahej,583.2,2735.14
5,2,1,24,1,8,0,0,3,7,1,1,11,Ahmedabad,538.2,2501.14
